,Zip Code,City,Street,Lat,Lon,Trulia Est,Beds,Baths,Sqft,Price_Per_Sqft,Year Built,Cluster
165,95003,0,619,36.98945,-121.93138,670576.0,2.0,2.5,1754.0,302.0,1984.0,3
167,95003,0,620,36.98956,-121.93168,670339.0,3.0,2.5,1605.0,293.0,1982.0,3
169,95003,0,622,36.98963,-121.93167,670564.0,3.0,2.5,1605.0,148.0,1982.0,3
170,95003,0,626,36.98964,-121.93133,687000.0,2.0,3.0,1754.0,392.0,1982.0,3
171,95003,0,627,36.98969,-121.93165,670594.0,3.0,2.5,1605.0,327.0,1982.0,3
172,95003,0,628,36.989709999999995,-121.93133999999999,643635.0,2.0,2.0,1084.0,112.0,1982.0,3
178,95003,0,631,36.98987,-121.93127,670373.0,3.0,2.5,1605.0,327.0,1982.0,3
180,95003,0,633,36.98984,-121.9312,670610.0,3.0,2.5,1605.0,237.0,1982.0,3
183,95003,0,637,36.98981,-121.93104,670429.0,3.0,2.5,1605.0,355.0,1982.0,3
185,95003,0,638,36.98979,-121.93096000000001,671034.0,3.0,2.5,1605.0,264.0,1982.0,3
187,95003,0,4,36.95839,-121.87511,1367978.0,4.0,2.0,2829.0,134.0,1982.0,1
188,95003,0,33,36.958690000000004,-121.87496000000002,1367069.0,3.0,2.5,2991.0,234.0,1981.0,1
189,95003,0,60,36.95906,-121.87475,1395196.0,4.0,3.0,3028.0,594.0,1981.0,1
190,95003,0,614,36.96718,-121.89178999999999,1036752.0,3.0,2.0,1594.0,210.0,1962.0,0
191,95003,0,623,36.966809999999995,-121.89181,1121657.0,3.0,2.0,2091.0,383.0,1979.0,5
199,95003,0,682,36.96712,-121.89096,918318.0,3.0,2.0,1304.0,161.0,1958.0,0
200,95003,0,689,36.96685,-121.89045,1222759.0,3.0,2.0,2370.0,194.0,1975.0,5
206,95003,0,706,36.96775,-121.89063999999999,913553.0,3.0,2.0,1320.0,189.0,1963.0,0
207,95003,0,710,36.96788,-121.89057,1050870.0,3.0,2.0,1790.0,313.0,1968.0,0
212,95003,0,725,36.96826,-121.89038000000001,914841.0,3.0,2.0,1451.0,482.0,1961.0,0
213,95003,0,726,36.968109999999996,-121.88977,969217.0,3.0,2.0,1695.0,342.0,1978.0,0
214,95003,0,727,36.96839,-121.89031999999999,922893.0,3.0,2.0,1508.0,332.0,1970.0,0
220,95003,0,598,36.9877,-121.93073999999999,835150.0,3.0,2.5,1634.0,404.0,2004.0,3
226,95003,0,607,36.988440000000004,-121.93056999999999,928492.0,3.0,2.5,1836.0,389.0,2004.0,0
229,95003,0,16,36.98982,-121.93045,681604.0,3.0,2.5,1558.0,417.0,2009.0,3
230,95003,0,19,36.99013,-121.93037,775559.0,3.0,2.5,1394.0,179.0,2009.0,3
231,95003,0,29,36.98982,-121.93037,675806.0,2.0,2.5,1104.0,199.0,2009.0,3
232,95003,0,34,36.9901,-121.93023000000001,872981.0,3.0,2.5,1525.0,419.0,2009.0,0
236,95003,0,61,36.99005,-121.93001000000001,782710.0,3.0,2.5,1377.0,181.0,2009.0,3
247,95003,0,131,36.9894,-121.93008,668719.0,2.0,2.5,1354.0,290.0,2012.0,3
248,95003,0,135,36.989540000000005,-121.93046000000001,886534.0,3.0,2.5,2025.0,259.0,2013.0,0
249,95003,0,140,36.989340000000006,-121.93008999999999,674360.0,3.0,2.5,1394.0,352.0,2012.0,3
251,95003,0,148,36.98922,-121.93008999999999,886325.0,3.0,2.5,1991.0,272.0,2012.0,0
252,95003,0,151,36.98938,-121.93046000000001,668721.0,2.0,2.5,1354.0,291.0,2013.0,3
254,95003,0,157,36.98932,-121.93048,911736.0,3.0,2.5,1866.0,199.0,2013.0,0
256,95003,0,160,36.98921,-121.93048999999999,865078.0,3.0,2.5,1866.0,280.0,2013.0,0
259,95003,0,174,36.9888,-121.93013,883866.0,3.0,2.5,1991.0,271.0,2013.0,0
260,95003,0,178,36.989090000000004,-121.93051000000001,886001.0,3.0,2.5,2025.0,251.0,2013.0,0
261,95003,0,180,36.98875,-121.9302,739862.0,2.0,2.5,1853.0,285.0,2013.0,3
262,95003,0,187,36.98871,-121.93023000000001,657238.0,2.0,2.0,1311.0,309.0,2013.0,3
263,95003,0,192,36.988659999999996,-121.93028000000001,856504.0,3.0,2.5,1843.0,288.0,2013.0,0
265,95003,0,205,36.988620000000004,-121.93047,884272.0,3.0,2.5,2025.0,268.0,2013.0,0
266,95003,0,213,36.98891,-121.9305,665214.0,2.0,2.5,1354.0,327.0,2013.0,3
267,95003,0,216,36.98863,-121.93055,706809.0,2.0,2.5,1354.0,244.0,2013.0,3
270,95003,0,342,36.97181,-121.89153,983280.0,3.0,2.0,1698.0,247.0,1998.0,0
272,95003,0,358,36.9717,-121.89171,1183100.0,4.0,2.5,2266.0,254.0,1998.0,5
276,95003,0,416,36.97149,-121.89206000000001,1182574.0,4.0,2.5,2230.0,215.0,1998.0,5
279,95003,0,458,36.97139,-121.89277,1183406.0,4.0,2.5,2292.0,183.0,1998.0,5
280,95003,0,470,36.97141,-121.89298000000001,1245187.0,4.0,3.0,2514.0,302.0,1999.0,5
281,95003,0,494,36.97188,-121.89296999999999,1183168.0,4.0,2.5,2246.0,309.0,1999.0,5
285,95003,0,508,36.972229999999996,-121.89298000000001,1183252.0,4.0,2.5,2251.0,181.0,1999.0,5
287,95003,0,513,36.9724,-121.89298000000001,1225872.0,4.0,2.5,2544.0,181.0,1999.0,5
289,95003,0,521,36.972559999999994,-121.89298000000001,1183104.0,4.0,2.5,2251.0,207.0,1999.0,5
290,95003,0,527,36.97273,-121.89296000000002,974386.0,3.0,2.0,1698.0,212.0,1999.0,0
292,95003,0,88,36.98363,-121.88377,840900.0,3.0,2.0,1777.0,132.0,1984.0,3
295,95003,0,459,36.9853,-121.88273000000001,983305.0,3.0,2.0,1784.0,457.0,1988.0,0
296,95003,0,532,36.98486,-121.88163999999999,976955.0,3.0,3.0,2096.0,281.0,1989.0,0
305,95003,0,373,36.965740000000004,-121.89385,1084432.0,3.0,2.0,1354.0,220.0,1975.0,5
307,95003,0,404,36.96617,-121.89407,1075930.0,3.0,2.0,1589.0,354.0,1973.0,5
308,95003,0,410,36.96602,-121.89347,1159457.0,3.0,2.0,1831.0,423.0,1973.0,5
311,95003,0,432,36.966229999999996,-121.89321000000001,1004648.0,3.0,2.0,1392.0,381.0,1964.0,0
317,95003,0,321,36.96246,-121.87848000000001,1203867.0,4.0,3.0,1939.0,157.0,1960.0,5
318,95003,0,359,36.96215,-121.87848999999999,1205438.0,3.0,3.0,2027.0,363.0,1961.0,5
319,95003,0,460,36.961859999999994,-121.87863999999999,1365392.0,4.0,3.0,3336.0,360.0,1969.0,1
322,95003,0,647,36.960879999999996,-121.87988,1152947.0,4.0,2.0,1800.0,258.0,1962.0,5
326,95003,0,1070,36.96074,-121.88965,1530736.0,3.0,2.0,1976.0,162.0,1974.0,1
330,95003,0,755,36.96548,-121.899,1268336.0,4.0,2.0,1838.0,598.0,1940.0,5
333,95003,0,585,36.97126,-121.89532,1002805.0,3.0,2.0,1629.0,488.0,1970.0,0
337,95003,0,565,36.979,-121.91481999999999,681479.0,3.0,1.5,1234.0,174.0,1983.0,3
340,95003,0,487,37.00227,-121.85261000000001,1458450.0,4.0,2.5,4032.0,127.0,1981.0,1
341,95003,0,762,37.003190000000004,-121.85144,851916.0,3.0,2.5,1820.0,191.0,1974.0,0
344,95003,0,108,36.97191,-121.89497,1211037.0,3.0,2.5,2328.0,430.0,1992.0,5
347,95003,0,197,36.99296,-121.85313000000001,1439081.0,4.0,3.5,3118.0,369.0,2003.0,1
350,95003,0,366,36.96881,-121.90063,1290722.0,2.0,2.5,1840.0,434.0,1960.0,5
352,95003,0,387,36.96861,-121.90035,1573443.0,3.0,3.0,2633.0,167.0,1966.0,1
358,95003,0,1050,36.984120000000004,-121.89934,860298.0,3.0,2.5,1999.0,169.0,1980.0,0
360,95003,0,1065,36.985659999999996,-121.89818000000001,986254.0,4.0,2.5,2125.0,391.0,2000.0,0
364,95003,0,293,36.948170000000005,-121.86635,1306570.0,4.0,3.5,2997.0,375.0,1990.0,1
365,95003,0,294,36.94807,-121.86665,1273182.0,3.0,2.5,2535.0,260.0,1988.0,5
371,95003,0,1033,36.98912,-121.93135,644220.0,2.0,2.0,1250.0,466.0,1984.0,3
374,95003,0,1036,36.989340000000006,-121.93108000000001,671238.0,2.0,2.5,1754.0,316.0,1982.0,3
380,95003,0,123,36.98639,-121.91793,1350571.0,3.0,3.5,2872.0,192.0,2004.0,1
381,95003,0,141,36.98636,-121.91847,968869.0,3.0,2.5,2060.0,271.0,2000.0,0
383,95003,0,269,36.98669,-121.91816000000001,1268176.0,4.0,3.5,2766.0,291.0,2002.0,5
387,95003,0,354,36.987190000000005,-121.91771000000001,1396156.0,3.0,3.5,2890.0,332.0,2000.0,1
394,95003,0,756,36.99532,-121.9299,1887446.0,4.0,3.5,3664.0,161.0,1985.0,2
395,95003,0,840,36.994679999999995,-121.93041000000001,1887386.0,4.0,2.5,3904.0,128.0,1983.0,2
396,95003,0,906,36.99388,-121.93096000000001,2305210.0,4.0,4.0,7256.0,345.0,2004.0,2
397,95003,0,203,36.949870000000004,-121.87475,1180171.0,3.0,3.5,2343.0,146.0,1979.0,5
398,95003,0,210,36.95003,-121.87456999999999,1100000.0,3.0,4.0,2880.0,382.0,1976.0,5
399,95003,0,212,36.95029,-121.87495,1297648.0,3.0,2.5,3240.0,242.0,1979.0,5
403,95003,0,229,36.94999,-121.87365,1143015.0,3.0,2.0,2171.0,150.0,1978.0,5
404,95003,0,230,36.95057,-121.87388,1207132.0,4.0,2.0,2375.0,154.0,1979.0,5
410,95003,0,241,36.95006,-121.87297,1205589.0,3.0,2.5,2394.0,164.0,1978.0,5
412,95003,0,248,36.949870000000004,-121.87268999999999,1421514.0,3.0,2.5,3034.0,147.0,1982.0,1
416,95003,0,261,36.94992,-121.8721,1343333.0,5.0,3.5,2965.0,283.0,1982.0,1
421,95003,0,281,36.949909999999996,-121.87114,1158510.0,3.0,2.0,2160.0,197.0,1981.0,5
423,95003,0,284,36.94948,-121.87093999999999,1191717.0,4.0,2.5,2673.0,179.0,1982.0,5
425,95003,0,303,36.94947,-121.8705,1182764.0,3.0,2.5,2192.0,138.0,1978.0,5
428,95003,0,305,36.94958,-121.87008,1193819.0,3.0,2.0,2479.0,302.0,1978.0,5
432,95003,0,13,36.95004,-121.86678,943834.0,3.0,1.5,1124.0,235.0,1989.0,0
433,95003,0,20,36.95001,-121.86683000000001,946305.0,3.0,1.5,1124.0,343.0,1988.0,0
435,95003,0,41,36.94995,-121.86697,982153.0,3.0,1.5,1118.0,240.0,1988.0,0
436,95003,0,62,36.94983,-121.8672,1074342.0,3.0,2.5,1584.0,363.0,1988.0,5
437,95003,0,70,36.94977,-121.86731999999999,1138399.0,2.0,3.0,1598.0,375.0,1988.0,5
439,95003,0,95,36.9496,-121.8677,1133509.0,3.0,2.5,1810.0,290.0,1988.0,5
441,95003,0,103,36.94955,-121.86826,1113285.0,2.0,3.0,1598.0,163.0,1988.0,5
443,95003,0,118,36.949329999999996,-121.8681,1145598.0,3.0,2.5,1810.0,185.0,1988.0,5
444,95003,0,161,36.949059999999996,-121.86736,1073586.0,3.0,2.5,1584.0,224.0,1988.0,5
447,95003,0,181,36.949529999999996,-121.8672,1184682.0,3.0,2.5,1810.0,232.0,1988.0,5
451,95003,0,193,36.94965,-121.86693999999999,1192380.0,3.0,2.5,1810.0,386.0,1988.0,5
454,95003,0,221,36.94955,-121.86653999999999,1138153.0,2.0,3.0,1598.0,371.0,1988.0,5
455,95003,0,226,36.949659999999994,-121.86646,1158628.0,3.0,2.5,1810.0,323.0,1988.0,5
458,95003,0,462,37.0005,-121.89766999999999,942087.0,3.0,1.5,1856.0,412.0,1971.0,0
459,95003,0,495,37.00053,-121.89856999999999,762438.0,3.0,2.0,1728.0,185.0,1991.0,3
465,95003,0,162,36.976490000000005,-121.91358000000001,1013634.0,3.0,2.5,1998.0,168.0,2013.0,0
477,95003,0,21,36.983129999999996,-121.89256,2166900.0,5.0,4.5,4354.0,198.0,1998.0,2
478,95003,0,45,36.97868,-121.87316000000001,866022.0,3.0,2.0,1618.0,155.0,1965.0,0
479,95003,0,591,36.97805,-121.87341,883749.0,3.0,2.0,1916.0,292.0,1965.0,0
480,95003,0,645,36.97846,-121.87301000000001,901759.0,3.0,2.5,2022.0,296.0,1988.0,0
481,95003,0,899,36.97821,-121.87286,1029443.0,3.0,2.5,2328.0,249.0,1978.0,0
482,95003,0,1193,36.9776,-121.8732,875139.0,4.0,2.0,1852.0,347.0,1977.0,0
483,95003,0,0,36.977579999999996,-121.87404,880910.0,3.0,2.5,1762.0,306.0,1977.0,0
489,95003,0,336,36.97653,-121.87276000000001,788902.0,3.0,2.0,1312.0,585.0,1971.0,3
492,95003,0,492,36.9767891,-121.87343510000001,870949.0,3.0,2.0,1718.0,413.0,1964.0,0
494,95003,0,524,36.977909999999994,-121.87248999999998,1210083.0,4.0,2.5,2674.0,299.0,2000.0,5
496,95003,0,542,36.97846,-121.87238,975419.0,3.0,3.0,2149.0,173.0,1966.0,0
498,95003,0,47,36.97339,-121.89761999999999,860619.0,3.0,1.5,1427.0,123.0,1999.0,0
499,95003,0,198,36.97379,-121.89773000000001,834658.0,3.0,2.5,1450.0,224.0,1999.0,3
500,95003,0,568,36.98343,-121.91458999999999,663625.0,2.0,2.5,1273.0,329.0,1981.0,3
510,95003,0,337,37.000609999999995,-121.85507,775833.0,3.0,2.5,1836.0,196.0,1978.0,3
520,95003,0,808,36.971,-121.88663999999999,821875.0,2.0,2.0,1496.0,321.0,1974.0,3
527,95003,0,942,36.96911,-121.88426000000001,794785.0,3.0,2.0,1535.0,146.0,1964.0,3
532,95003,0,953,36.968779999999995,-121.88395,810519.0,4.0,2.0,1415.0,325.0,1973.0,3
538,95003,0,963,36.968070000000004,-121.88393,995956.0,3.0,2.5,1861.0,416.0,1998.0,0
539,95003,0,964,36.96823,-121.88344,767996.0,3.0,2.0,1200.0,171.0,1977.0,3
546,95003,0,985,36.96768,-121.88292,1098933.0,3.0,3.0,1816.0,512.0,1959.0,5
548,95003,0,997,36.96743,-121.8824,965123.0,3.0,2.0,1920.0,167.0,1963.0,0
549,95003,0,1011,36.96735,-121.88225,1144493.0,4.0,3.0,1927.0,195.0,1960.0,5
550,95003,0,1018,36.967259999999996,-121.8821,977848.0,3.0,2.5,1839.0,133.0,1962.0,0
552,95003,0,1026,36.9668,-121.88166000000001,1053442.0,3.0,2.5,1902.0,237.0,1998.0,0
553,95003,0,1030,36.96662,-121.88181999999999,1236635.0,3.0,3.0,2393.0,196.0,1968.0,5
558,95003,0,1064,36.96548,-121.88178,919108.0,2.0,2.0,1107.0,194.0,1969.0,0
563,95003,0,1067,36.964529999999996,-121.88128,1359452.0,5.0,3.0,2312.0,281.0,1960.0,1
567,95003,0,1079,36.96428,-121.88049,1024211.0,3.0,2.0,1806.0,183.0,1960.0,0
575,95003,0,1101,36.96365,-121.87823,1120610.0,3.0,2.0,2149.0,291.0,1960.0,5
576,95003,0,1105,36.96332,-121.87884,1169306.0,3.0,3.0,2053.0,151.0,1975.0,5
580,95003,0,1115,36.963,-121.87847,1125778.0,3.0,2.0,2069.0,222.0,1959.0,5
582,95003,0,1118,36.96267,-121.87816000000001,1344661.0,5.0,3.5,2592.0,291.0,1972.0,1
584,95003,0,1122,36.96246,-121.87811,882051.0,3.0,2.0,1554.0,321.0,1959.0,0
592,95003,0,1175,36.96115,-121.87798000000001,1359104.0,3.0,2.5,2475.0,402.0,1997.0,1
593,95003,0,1179,36.961420000000004,-121.87848999999999,968278.0,2.0,2.0,1572.0,528.0,1961.0,0
598,95003,0,1199,36.960409999999996,-121.87913999999999,1049339.0,3.0,2.0,1476.0,398.0,1961.0,0
599,95003,0,1200,36.960029999999996,-121.87875,1205091.0,4.0,2.5,2298.0,112.0,1963.0,5
600,95003,0,1206,36.96024,-121.87931,1083486.0,3.0,2.0,1577.0,523.0,1974.0,5
601,95003,0,1207,36.959720000000004,-121.8792,1241199.0,4.0,3.5,1940.0,349.0,1963.0,5
602,95003,0,1209,36.96012,-121.87951000000001,1065331.0,3.0,2.0,1485.0,203.0,1976.0,0
603,95003,0,1213,36.96,-121.87973000000001,1202940.0,4.0,2.5,2126.0,416.0,1965.0,5
604,95003,0,1216,36.95961,-121.87943,1321183.0,3.0,3.0,2941.0,192.0,1963.0,1
607,95003,0,1,36.95975,-121.88022,1199209.0,3.0,2.0,1714.0,429.0,1961.0,5
613,95003,0,17,36.959379999999996,-121.8809,1100984.0,2.0,2.0,1680.0,387.0,1967.0,5
615,95003,0,27,36.958870000000005,-121.88077,1448219.0,4.0,4.0,3485.0,212.0,1971.0,1
617,95003,0,78,36.95787,-121.88165,2380031.0,5.0,6.0,3768.0,265.0,1971.0,2
619,95003,0,86,36.95754,-121.882,1949774.0,4.0,2.5,2762.0,148.0,1977.0,2
631,95003,0,163,36.975570000000005,-121.91657,1217387.0,2.0,1.5,1829.0,166.0,1973.0,5
633,95003,0,194,36.9759,-121.91684,1030492.0,3.0,2.0,1732.0,201.0,1986.0,0
639,95003,0,662,36.97388,-121.91348,1083775.0,3.0,2.5,1636.0,440.0,1984.0,5
643,95003,0,678,36.973620000000004,-121.91372,896216.0,4.0,2.0,1400.0,361.0,1950.0,0
647,95003,0,707,36.9731,-121.91421000000001,969070.0,3.0,2.0,1578.0,240.0,1950.0,0
649,95003,0,720,36.97343,-121.91462,859944.0,2.0,2.0,1188.0,319.0,1968.0,0
659,95003,0,771,36.97387,-121.91578999999999,868626.0,2.0,2.0,833.0,600.0,1940.0,0
663,95003,0,781,36.973890000000004,-121.91613999999998,878795.0,2.0,2.0,936.0,641.0,1924.0,0
667,95003,0,801,36.97448,-121.91661,970398.0,2.0,2.0,1444.0,686.0,1967.0,0
673,95003,0,1034,36.9886,-121.93141999999999,642725.0,2.0,2.0,1230.0,321.0,1984.0,3
675,95003,0,1035,36.98859,-121.93133999999999,643076.0,2.0,2.0,1238.0,412.0,1984.0,3
679,95003,0,1037,36.98857,-121.9311,641422.0,2.0,2.0,1233.0,207.0,1984.0,3
683,95003,0,346,36.9767985,-121.8881038,985226.0,3.0,3.0,1224.0,398.0,1975.0,0
684,95003,0,355,36.9768265,-121.88808390000001,840085.0,3.0,2.0,1224.0,400.0,1975.0,3
685,95003,0,367,36.97632,-121.88799999999999,880200.0,4.0,2.0,1554.0,483.0,1963.0,0
687,95003,0,388,36.97659,-121.88781999999999,877949.0,3.0,2.5,1528.0,266.0,1963.0,0
689,95003,0,411,36.97678,-121.88773,907981.0,3.0,2.0,1937.0,142.0,1963.0,0
690,95003,0,427,36.97728,-121.88832,887407.0,3.0,2.0,1600.0,172.0,1972.0,0
691,95003,0,433,36.97696,-121.8876,910224.0,3.0,2.0,1729.0,146.0,1963.0,0
703,95003,0,596,36.99064,-121.93198000000001,558107.0,2.0,2.0,918.0,131.0,1984.0,3
713,95003,0,650,36.99108,-121.93195,655771.0,2.0,2.5,1228.0,299.0,1985.0,3
716,95003,0,651,36.9912,-121.9315,893227.0,3.0,2.5,1926.0,309.0,2012.0,0
720,95003,0,652,36.99109,-121.93212,692921.0,2.0,2.5,1228.0,257.0,1984.0,3
721,95003,0,656,36.99167,-121.93145,896467.0,3.0,2.5,1926.0,309.0,2012.0,0
724,95003,0,657,36.9911,-121.93226000000001,720687.0,3.0,2.5,1516.0,310.0,1984.0,3
729,95003,0,667,36.99208,-121.93198000000001,1154143.0,3.0,2.5,2474.0,194.0,1997.0,5
731,95003,0,671,36.99253,-121.93139,1282764.0,4.0,3.0,2605.0,176.0,1997.0,5
734,95003,0,675,36.99303,-121.932,1328606.0,4.0,2.5,2894.0,340.0,1997.0,1
735,95003,0,677,36.99329,-121.9318,1443089.0,3.0,3.5,2884.0,416.0,1997.0,1
737,95003,0,687,36.99285,-121.93116,1371385.0,4.0,3.0,2899.0,317.0,1996.0,1
738,95003,0,688,36.993140000000004,-121.93116,1316689.0,3.0,2.5,2707.0,217.0,1997.0,1
739,95003,0,878,36.97493,-121.91718999999999,1985967.0,3.0,2.5,2285.0,394.0,1993.0,2
746,95003,0,982,37.002159999999996,-121.85941000000001,1736865.0,4.0,2.5,3972.0,175.0,1992.0,2
748,95003,0,1190,37.00488,-121.85785,2342574.0,6.0,5.5,5237.0,104.0,1996.0,2
752,95003,0,246,37.00248,-121.85715,985865.0,2.0,2.0,2007.0,383.0,1984.0,0
753,95003,0,262,37.00221,-121.85538999999999,1032304.0,4.0,2.0,2198.0,362.0,1975.0,0
758,95003,0,316,36.99907,-121.85566999999999,792203.0,2.0,2.0,1526.0,224.0,1968.0,3
759,95003,0,318,36.99875,-121.85663999999998,707863.0,2.0,2.0,1350.0,311.0,1987.0,3
763,95003,0,370,36.99773,-121.85525,753549.0,3.0,2.0,1817.0,247.0,1974.0,3
764,95003,0,371,36.99682,-121.85608,999923.0,3.0,2.0,1988.0,277.0,1971.0,0
765,95003,0,372,36.99711,-121.85491,728277.0,3.0,2.0,1437.0,125.0,1972.0,3
766,95003,0,381,36.99589,-121.85678999999999,783081.0,3.0,3.0,1746.0,196.0,1974.0,3
769,95003,0,431,36.99495,-121.85523,733698.0,3.0,2.0,1447.0,484.0,1963.0,3
771,95003,0,442,36.99504,-121.8571,1393660.0,3.0,2.5,3271.0,299.0,1976.0,1
