,Unnamed: 0,Unnamed: 0.1,State,State_Abr,Zip Code,County,City,Street,Lat,Lon,Features,Trulia Est,History Events,Property Events,Beds,Baths,Sqft,Price_Per_Sqft,Year Built
10,10,10,California,CA,95060,Santa Cruz County,Santa Cruz,526 2nd St #203,36.9648946,-122.0240981,Condo;Lot Size: 1%350 sqft;Built in 1982;Parking: Attached Electric Door Or Gate Opener Guest Parking 2 Car Garage Underground Commercial;Condominium% Mid Rise (4-8 Stories)% Contemporary Architecture;MLS/Source ID: 81000404;,$778%677,04/13/2010:$560%000:Sold;03/28/2010:$570%000:Posting Removed;03/26/2010:$570%000:Price Change:$9%000: (-2%);03/18/2010:$579%000:Listed For Sale;04/29/1999:$325%000:Sold,Year:2018;Tax:$7%472;Assessment:;Land:$340%339;Improvements:$294%961;Total:$635%300,?,?,?,?,Built in 1982
11,11,11,California,CA,95060,Santa Cruz County,Santa Cruz,526 2nd St #301,36.9648946,-122.0240981,2 Beds;2 Baths;1%695 sqft;Condo;$201/sqft;1%742 sqft lot size;Built in 1982;County: Santa Cruz;Tax Rate Code Area: 1-027;Heating: Central;Parking: Garage;Parking Spaces: 3;Units: 1;Land Use Code: Condominium (Residential);,$807%861,09/11/1998:$341%000:Sold,Year:2018;Tax:$5%632;Assessment:;Land:$281%902;Improvements:$187%936;Total:$469%838,2 Beds,2 Baths,1%695 sqft,$201/sqft,Built in 1982
12,12,12,California,CA,95060,Santa Cruz County,Santa Cruz,535 2nd St,36.9642752,-122.0242757,5 Beds;3 Baths;2%293 sqft;Multi Family;3%180 sqft lot size;Built in 1904;County: Santa Cruz;Tax Rate Code Area: 1-027;Heating: Floor/Wall;Parking: Garage;Parking Spaces: 2;Units: 2;Roof: Composition Shingle;Land Use Code: Duplex (2 units% any combination);,$1%630%067,05/11/2008:$1%150%000:Posting Removed;05/01/2008:$1%150%000:Listed For Sale,Year:2018;Tax:$1%364;Assessment:;Land:$17%464;Improvements:$58%452;Total:$75%916,5 Beds,3 Baths,2%293 sqft,?,Built in 1904
13,13,13,California,CA,95060,Santa Cruz County,Santa Cruz,602 2nd St,36.9643746,-122.025075,4 Beds;2 Baths;1%432 sqft;Single Family Home;$120/sqft;2%352 sqft lot size;Built in 1928;County: Santa Cruz;Tax Rate Code Area: 1-027;Heating: Floor/Wall;Parking: Garage;Parking Spaces: 1;Units: 2;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%295%697,10/03/2013:$530%000:Sold;10/25/2002:$172%000:Sold,Year:2018;Tax:$6%870;Assessment:;Land:$342%604;Improvements:$228%403;Total:$571%007,4 Beds,2 Baths,1%432 sqft,$120/sqft,Built in 1928
14,14,14,California,CA,95060,Santa Cruz County,Santa Cruz,604 2nd St,36.9643851,-122.0251972,4 Beds;2 Baths;1%734 sqft;Single Family Home;2%352 sqft lot size;Built in 1928;County: Santa Cruz;Tax Rate Code Area: 1-027;Units: 2;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%434%762,10/03/2013:$530%000:Sold,Year:2018;Tax:$6%870;Assessment:;Land:$342%604;Improvements:$228%403;Total:$571%007,4 Beds,2 Baths,1%734 sqft,?,Built in 1928
15,15,15,California,CA,95060,Santa Cruz County,Santa Cruz,610 2nd St,36.9643816,-122.025397,Multi Family;Lot Size: 3%311 sqft;Built in 1918;MLS/Source ID: 547189;,$1%447%174,10/03/2013:$850%000:Sold,Year:2018;Tax:$10%817;Assessment:;Land:$549%459;Improvements:$366%306;Total:$915%765,?,?,?,?,Built in 1918
16,16,16,California,CA,95060,Santa Cruz County,Santa Cruz,203 3rd St,36.966842,-122.01645,4 Beds;2 Baths;1%728 sqft;Multi Family;$174/sqft;3%398 sqft lot size;Built in 1963;County: Santa Cruz;Tax Rate Code Area: 1-027;9 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 2;Roof: Shingle (Not Wood);Land Use Code: Duplex (2 units% any combination);,$1%143%856,03/09/2016:$760%000:Sold;09/05/2000:$300%000:Sold,Year:2018;Tax:$9%377;Assessment:;Land:$613%836;Improvements:$176%868;Total:$790%704,4 Beds,2 Baths,1%728 sqft,$174/sqft,Built in 1963
17,17,17,California,CA,95060,Santa Cruz County,Santa Cruz,209 3rd St,36.9669343,-122.0166816,Multi Family;Lot Size: 3%441 sqft;Built in 1908;Fireplace;Foundation Type: Concrete Perimeter;Roof: Composition;MLS/Source ID: 81215335;,$958%257,10/05/2012:$397%500:Posting Removed;05/08/2012:$397%500:Listed For Sale,Year:2018;Tax:$4%762;Assessment:;Land:$297%622;Improvements:$81%170;Total:$378%792,?,?,?,?,Built in 1908
18,18,18,California,CA,95060,Santa Cruz County,Santa Cruz,321 3rd St,36.9673486,-122.0176899,2 Beds;2 Baths;1%238 sqft;Condo;$136/sqft;784 sqft lot size;Built in 1981;County: Santa Cruz;Tax Rate Code Area: 1-027;5 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 1;Units: 1;Roof: Composition Shingle;Land Use Code: Condominium (Residential);,$661%823,07/15/1999:$168%000:Sold,Year:2018;Tax:$3%124;Assessment:;Land:$118%198;Improvements:$118%198;Total:$236%396,2 Beds,2 Baths,1%238 sqft,$136/sqft,Built in 1981
19,19,19,California,CA,95060,Santa Cruz County,Santa Cruz,603 3rd St,36.9675742,-122.0197015,4 Beds;2 Baths;1%521 sqft;Single Family Home;8%668 sqft lot size;Built in 1908;County: Santa Cruz;Tax Rate Code Area: 1-027;Heating: Floor/Wall;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%127%269,08/24/2012:$615%000:Sold;08/21/2012:$650%000:Posting Removed;07/21/2012:$650%000:Listed For Sale,Year:2018;Tax:$7%817;Assessment:;Land:$497%840;Improvements:$167%751;Total:$665%591,4 Beds,2 Baths,1%521 sqft,?,Built in 1908
20,20,20,California,CA,95060,Santa Cruz County,Santa Cruz,706 3rd St,36.9676364,-122.0206426,Single Family Home;Lot Size: 5%009 sqft;Built in 2010;MLS/Source ID: 81000985;,$1%624%707,07/24/2010:$875%000:Posting Removed;07/21/2010:$850%000:Sold;04/24/2010:$875%000:Price Change:$64%000: (-7%);01/10/2010:$939%000:Listed For Sale;11/26/2009:$259%900:Posting Removed;11/25/2009:$235%000:Sold;11/24/2009:$259%900:Listed For Sale;11/20/2009:$299%900:Posting Removed;10/16/2009:$299%900:Listed For Sale;10/09/2009:$299%900:Posting Removed;10/03/2009:$299%900:Posting Removed;09/19/2009:$299%900:Price Change:$40%000: (-12%);09/17/2009:$339%900:Price Change:$29%100: (-8%);08/15/2009:$369%000:Price Change:$45%900: (-11%);06/26/2009:$414%900:Price Change:$0: (0%);06/25/2009:$414%900:Price Change:$24%100: (-5%);05/15/2009:$439%000:Listed For Sale;04/14/2009:$714%030:Sold;08/18/2006:$850%000:Sold,Year:2018;Tax:$11%059;Assessment:;Land:$506%693;Improvements:$450%394;Total:$957%087,?,?,?,?,Built in 2010
21,21,21,California,CA,95060,Santa Cruz County,Santa Cruz,710 3rd St,36.9676179,-122.0208223,Single Family Home;Lot Size: 7%013 sqft;Built in 2011;MLS/Source ID: ML81583113;,$1%703%623,08/24/2016:$1%375%000:Posting Removed;08/15/2016:$1%250%000:Sold;07/07/2016:$1%375%000:Pending;04/30/2016:$1%375%000:Listed For Sale;02/17/2012:$1%049%000:Posting Removed;02/08/2012:$1%049%000:Listed For Sale;01/26/2012:$970%000:Sold;12/19/2011:$1%049%000:Posting Removed;09/29/2011:$1%049%000:Price Change:$48%000: (-4%);05/18/2011:$1%097%000:Price Change:$198%000: (-15%);03/30/2011:$1%295%000:Listed For Sale;06/11/2010:$235%000:Sold;09/08/2006:$850%000:Sold,Year:2018;Tax:$14%517;Assessment:;Land:$701%250;Improvements:$573%750;Total:$1%275%000,?,?,?,?,Built in 2011
22,22,22,California,CA,95060,Santa Cruz County,Santa Cruz,714 3rd St,36.9675268,-122.0209894,Multi Family;Lot Size: 7%144 sqft;Built in 1920;MLS/Source ID: 80818011;,$1%850%351,03/17/2011:$1%047%441:Sold;08/29/2008:$2%290%000:Posting Removed;06/27/2008:$2%290%000:Listed For Sale;12/21/2005:$1%595%000:Sold,Year:2018;Tax:$9%561;Assessment:;Land:$287%016;Improvements:$524%356;Total:$811%372,?,?,?,?,Built in 1920
23,23,23,California,CA,95060,Santa Cruz County,Santa Cruz,809 3rd St,36.9663169,-122.021953,2 Beds;2.5 Baths;1%374 sqft;Condo;$531/sqft;697 sqft lot size;Built in 1981;County: Santa Cruz;Tax Rate Code Area: 1-027;Parking: Garage;Parking Spaces: 1;Units: 1;Roof: Composition Shingle;Land Use Code: Condominium (Residential);,$730%000,12/28/2018:$730%000:Sold;12/15/2016:$695%000:Sold,Year:2018;Tax:$8%291;Assessment:;Land:$425%340;Improvements:$283%560;Total:$708%900,2 Beds,2.5 Baths,1%374 sqft,$531/sqft,Built in 1981
24,24,24,California,CA,95060,Santa Cruz County,Santa Cruz,811 3rd St,36.966307,-122.022035,Condo;Lot Size: 741 sqft;Built in 1980;Contemporary Architecture;MLS/Source ID: 81651786;,$732%629,07/06/2017:$699%000:Posting Removed;07/03/2017:$692%000:Sold;06/12/2017:$699%000:Pending;05/16/2017:$699%000:Listed For Sale;08/11/2016:$110%000:Sold,Year:2018;Tax:$8%103;Assessment:;Land:$415%200;Improvements:$276%800;Total:$692%000,?,?,?,?,Built in 1980
25,25,25,California,CA,95060,Santa Cruz County,Santa Cruz,813 3rd St,36.9665273,-122.0220552,Condo;Lot Size: 1%045 sqft;$250/monthly HOA;Built in 1984;Rooms: Dining Room;Heating Fuel: Gas;Washer;Dryer;Fireplace;Skylight;Roof: Composition;MLS/Source ID: ML81640423;See Virtual Tour,$652%843,09/19/2017:$649%000:Sold;07/27/2017:$629%000:Posting Removed;05/24/2017:$629%000:Pending;05/11/2017:$629%000:Price Change:$20%000: (-3%);04/21/2017:$649%000:Price Change:$20%000: (-3%);02/28/2017:$669%000:Listed For Sale;09/26/2002:$450%000:Sold,Year:2018;Tax:$7%625;Assessment:;Land:$454%300;Improvements:$194%700;Total:$649%000,?,?,?,?,Built in 1984
26,26,26,California,CA,95060,Santa Cruz County,Santa Cruz,819 3rd St,36.966606,-122.022364,4 Beds;2.5 Baths;2%127 sqft;Multi Family;$141/sqft;5%576 sqft lot size;Built in 1908;County: Santa Cruz;Tax Rate Code Area: 1-027;Parking: Garage;Parking Spaces: 1;Units: 2;Roof: Composition Shingle;Land Use Code: Duplex (2 units% any combination);,$1%337%859,08/22/1996:$300%000:Sold,Year:2018;Tax:$5%229;Assessment:;Land:$200%399;Improvements:$229%028;Total:$429%427,4 Beds,2.5 Baths,2%127 sqft,$141/sqft,Built in 1908
27,27,27,California,CA,95060,Santa Cruz County,Santa Cruz,910 3rd St,36.9671348,-122.0232987,3 Beds;3 Baths;2%316 sqft;Single Family Home;$259/sqft;5%184 sqft lot size;Built in 1960;County: Santa Cruz;Tax Rate Code Area: 1-027;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$1%405%041,12/27/2001:$600%000:Sold;04/04/1997:$342%000:Sold,Year:2018;Tax:$9%001;Assessment:;Land:$480%394;Improvements:$298%623;Total:$779%017,3 Beds,3 Baths,2%316 sqft,$259/sqft,Built in 1960
28,28,28,California,CA,95060,Santa Cruz County,Santa Cruz,911 3rd St,36.9664625,-122.022899,Single Family Home;Lot Size: 10%237 sqft;Built in 1925;MLS/Source ID: ML81471808;See Virtual Tour,$1%823%992,10/15/2015:$1%600%000:Posting Removed;10/15/2015:$1%630%000:Sold;09/15/2015:$1%600%000:Price Change:$49%500: (-3%);09/15/2015:$1%649%500:Pending;09/15/2015:$1%575%000:Sold;09/04/2015:$1%649%500:Price Change:$350%000: (-18%);06/24/2015:$1%999%500:Listed For Sale,Year:2018;Tax:$18%558;Assessment:;Land:$728%280;Improvements:$910%350;Total:$1%638%630,?,?,?,?,Built in 1925
29,29,29,California,CA,95060,Santa Cruz County,Santa Cruz,912 3rd St,36.966873,-122.0231655,3 Beds;2 Baths;2%129 sqft;Townhouse;$194/sqft;1%612 sqft lot size;Built in 1987;County: Santa Cruz;Tax Rate Code Area: 1-027;Heating: Central;Parking: Garage;Parking Spaces: 1;Units: 1;Roof: Composition Shingle;Land Use Code: Townhouse (Residential);,$870%888,06/15/2001:$412%500:Sold,Year:2018;Tax:$6%479;Assessment:;Land:$327%571;Improvements:$218%381;Total:$545%952,3 Beds,2 Baths,2%129 sqft,$194/sqft,Built in 1987
30,30,30,California,CA,95060,Santa Cruz County,Santa Cruz,914 3rd St,36.9667731,-122.0231211,Townhouse;Lot Size: 1%742 sqft;$16/monthly HOA;Built in 1987;6 Rooms;Rooms: Dining Room% Walk In Closet;Heating: Forced Air;Heating Fuel: Gas;Dishwasher;Disposal;Floors: Carpet% Hardwood;Great Views;Fireplace;Skylight;Double Paned Windows;Garage;Contemporary Architecture;Roof: Composition;Year Updated: 1987;Patio;Deck;Sprinkler System;MLS/Source ID: ML81677532;See Virtual Tour,$1%305%313,01/25/2018:$1%149%000:Sold;09/09/2016:$700%000:Sold,Year:2018;Tax:$8%348;Assessment:;Land:$499%800;Improvements:$214%200;Total:$714%000,?,?,?,?,Built in 1987
31,31,31,California,CA,95060,Santa Cruz County,Santa Cruz,918 3rd St,36.9669932,-122.0234874,Apartment Condo Townhouse;Lot Size: 0.35 acres;Built in 1984;Rooms: Breakfast Nook% Dining Room% Pantry;Heating: Forced Air;Washer;Refrigerator;Dishwasher;Disposal;Fireplace;Skylight;Vaulted Ceiling;Wet Bar;Parking: Attached Garage;Patio;Lawn;Sprinkler System;,$862%954,08/30/1995:$240%000:Sold,Year:2011;Tax:;Assessment:;Land:$0;Improvements:$0;Total:$0,?,?,?,?,Built in 1984
32,32,32,California,CA,95060,Santa Cruz County,Santa Cruz,918 3rd St #B,34.0217788,-118.5037899,3 Beds;2.5 Baths;1%991 sqft;Condo;$394/sqft;261 sqft lot size;Built in 1984;County: Santa Cruz;Tax Rate Code Area: 1-027;Parking: Garage;Parking Spaces: 1;Units: 1;Roof: Composition Shingle;Land Use Code: Condominium (Residential);,$862%524,07/28/2005:$785%000:Sold;09/11/1998:$345%000:Sold;04/30/1998:$80%000:Sold,Year:2018;Tax:$9%460;Assessment:;Land:$502%938;Improvements:$311%094;Total:$814%032,3 Beds,2.5 Baths,1%991 sqft,$394/sqft,Built in 1984
33,33,33,California,CA,95060,Santa Cruz County,Santa Cruz,918 3rd St #C,34.0217788,-118.5037899,Condo;Lot Size: 479 sqft;Built in 1984;,$739%063,03/08/2018:$371%500:Sold;05/10/2017:$360%000:Sold;04/07/2017:$1%315%203:Posting Removed;04/01/2017:$1%324%918:Posting Removed;03/25/2017:$914%217:Posting Removed;03/18/2017:$914%217:Posting Removed;03/17/2017:$914%217:Listed For Sale;01/12/2017:$914%217:Posting Removed;01/08/2017:$914%217:Posting Removed;01/07/2017:$914%217:Posting Removed;12/29/2016:$914%217:Posting Removed;12/25/2016:$914%217:Posting Removed;12/24/2016:$914%217:Posting Removed;10/22/2016:$914%217:Posting Removed;10/12/2016:$914%217:Price Change:$0: (0%);10/09/2016:$914%217:Posting Removed;09/10/2016:$955%371:Posting Removed;09/09/2016:$955%371:Price Change:$3%402: (-0%);09/08/2016:$958%773:Price Change:$10%339: (-1%);09/05/2016:$969%112:Price Change:$7%405: (-1%);09/03/2016:$976%517:Price Change:$11%967: (-1%);08/31/2016:$988%484:Price Change:$12%124: (-1%);08/28/2016:$1%000%608:Price Change:$825%608: (472%);08/21/2016:$175%000:Price Change:$50%000: (-22%);08/18/2016:$225%000:Price Change:$50%000: (29%);07/20/2016:$175%000:Price Change:$50%000: (-22%);07/13/2016:$225%000:Price Change:$50%000: (29%);07/11/2016:$175%000:Price Change:$50%000: (-22%);07/10/2016:$225%000:Price Change:$50%000: (29%);07/08/2016:$175%000:Price Change:$50%000: (-22%);07/07/2016:$225%000:Price Change:$50%000: (29%);06/14/2016:$175%000:Price Change:$70%000: (-29%);06/08/2016:$245%000:Price Change:$70%000: (40%);06/04/2016:$175%000:Price Change:$70%000: (-29%);05/26/2016:$245%000:Price Change:$70%000: (40%);05/24/2016:$175%000:Price Change:$70%000: (-29%);05/18/2016:$245%000:Price Change:$20%000: (9%);05/15/2016:$225%000:Price Change:$20%000: (-8%);05/11/2016:$245%000:Price Change:$60%000: (32%);05/05/2016:$185%000:Price Change:$15%000: (9%);04/28/2016:$170%000:Price Change:$55%000: (-24%);01/20/2016:$225%000:Price Change:$93%467: (-29%);01/07/2016:$318%467:Price Change,Year:2018;Tax:$8%688;Assessment:;Land:$446%760;Improvements:$297%840;Total:$744%600,?,?,?,?,Built in 1984
34,34,34,California,CA,95060,Santa Cruz County,Santa Cruz,918 3rd St #D,34.0217788,-118.5037899,Condo;Lot Size: 523 sqft;$315/monthly HOA;Built in 1984;Rooms: Bedroom% Bedroom% Bedroom;MLS/Source ID: 81303369;,$1%279%272,06/25/2013:$605%000:Sold;05/29/2013:$625%000:Posting Removed;05/07/2013:$625%000:Price Change:$25%000: (-4%);04/05/2013:$650%000:Price Change:$25%000: (-4%);02/05/2013:$675%000:Listed For Sale;12/23/2008:$527%551:Sold;11/30/2004:$625%000:Sold;12/12/2000:$490%000:Sold,Year:2018;Tax:$7%689;Assessment:;Land:$392%861;Improvements:$261%907;Total:$654%768,?,?,?,?,Built in 1984
35,35,35,California,CA,95060,Santa Cruz County,Santa Cruz,918 3rd St #F,34.0217788,-118.5037899,Condo;Lot Size: 697 sqft;$265/monthly HOA;Built in 1984;MLS/Source ID: ML81516982;,$537%652,11/24/2015:$440%000:Posting Removed;11/23/2015:$502%000:Sold;10/19/2015:$440%000:Pending;10/03/2015:$440%000:Listed For Sale;01/27/1999:$185%000:Sold,Year:2018;Tax:$6%138;Assessment:;Land:$365%597;Improvements:$156%684;Total:$522%281,?,?,?,?,Built in 1984
36,36,36,California,CA,95060,Santa Cruz County,Santa Cruz,918 3rd St #G,34.0217788,-118.5037899,Condo;Lot Size: 610 sqft;Built in 1984;,$554%615,03/30/2016:$500%000:Sold;02/09/2011:$314%500:Sold;11/04/2010:$324%500:Posting Removed;09/08/2010:$324%500:Listed For Sale;01/18/2002:$285%000:Sold;08/30/1999:$235%000:Sold;07/28/1994:$165%000:Sold,Year:2018;Tax:$6%134;Assessment:;Land:$364%140;Improvements:$150%858;Total:$514%998,?,?,?,?,Built in 1984
37,37,37,California,CA,95060,Santa Cruz County,Santa Cruz,919 3rd St,36.9663313,-122.0232099,Multi Family;$510/sqft;Lot Size: 0.25 acres;$135/monthly HOA;Built in 1871;Rooms: Dining Room;Heating: Forced Air;Heating Fuel: Gas;Refrigerator;Floors: Carpet% Laminate% Linoleum Vinyl;Great Views;Garage;Victorian Architecture;Roof: Composition;MLS/Source ID: ML81702918;,$1%631%000,08/29/2018:$1%631%000:Sold;11/27/2000:$975%000:Sold;03/08/2000:$770%000:Sold;04/20/1999:$675%000:Sold,Year:2018;Tax:$15%772;Assessment:;Land:$827%705;Improvements:$535%549;Total:$1%363%254,?,?,?,$510/sqft,Built in 1871
38,38,38,California,CA,95060,Santa Cruz County,Santa Cruz,1004 3rd St,36.9664818,-122.0239648,Multi Family;Lot Size: 8%364 sqft;Built in 1928;MLS/Source ID: 80940849;,$1%697%460,11/03/2009:$795%000:Posting Removed;11/02/2009:$795%000:Sold;08/29/2009:$795%000:Price Change:$470%000: (-37%);05/28/2009:$1%265%000:Listed For Sale;03/22/2009:$995%000:Posting Removed;10/18/2008:$995%000:Listed For Sale;03/08/2005:$895%000:Sold;11/24/1999:$463%000:Sold,Year:2018;Tax:$10%685;Assessment:;Land:$567%231;Improvements:$334%667;Total:$901%898,?,?,?,?,Built in 1928
39,39,39,California,CA,95060,Santa Cruz County,Santa Cruz,1005 3rd St,36.9661601,-122.023654,4 Beds;3 Baths;3%834 sqft;Multi Family;$339/sqft;5%489 sqft lot size;Built in 1892;County: Santa Cruz;Tax Rate Code Area: 1-027;Heating: Floor/Wall;Parking: Carport;Parking Spaces: 1;Units: 2;Roof: Composition Shingle;Land Use Code: Duplex (2 units% any combination);,$1%797%490,11/22/2005:$1%300%000:Sold,Year:2018;Tax:$16%644;Assessment:;Land:$891%618;Improvements:$557%256;Total:$1%448%874,4 Beds,3 Baths,3%834 sqft,$339/sqft,Built in 1892
