,Unnamed: 0,State,State_Abr,Zip Code,County,City,Street,Lat,Lon,Features,Trulia Est,History Events,Property Events,Beds,Baths,Sqft,Price_Per_Sqft,Year Built
10,10,California,CA,95003,Santa Cruz County,Aptos,6125 Abbey Rd,36.98747,-121.93451,Single Family Home;$2/sqft;Lot Size: 0.93 acres;Built in 1975;180+ Days on Trulia;Heating: Forced Air;Washer;Refrigerator;Microwave;Dishwasher;Disposal;Floors: Tile;Vaulted Ceiling;Ceiling Fan;Rv Parking;Additional Storage;Patio;Lawn;,$959%919,08/14/2009:$525%500:Sold;07/30/2009:$426%900:Posting Removed;07/05/2009:$426%900:Listed For Sale;04/01/2009:$756%500:Sold;09/13/2005:$1%500%000:Sold,Year:2018;Tax:$6%910;Assessment:;Land:$453%785;Improvements:$141%808;Total:$595%593,?,?,?,?,Built in 1975
11,11,California,CA,95003,Santa Cruz County,Aptos,130 Acacia Woods Ct,36.98638,-121.92008,3 Baths;2%417 sqft;Single Family Home;$286/sqft;0.26 acres lot size;Built in 1992;County: Santa Cruz;Tax Rate Code Area: 69-273;Heating: Central;Units: 1;Roof: Tile;Land Use Code: Single Family Residential;,$1%154%178,04/16/2004:$692%000:Sold;09/29/2000:$639%000:Sold,Year:2018;Tax:$10%331;Assessment:;Land:$518%822;Improvements:$345%883;Total:$864%705,?,3 Baths,2%417 sqft,$286/sqft,Built in 1992
12,12,California,CA,95003,Santa Cruz County,Aptos,509 Alta Dr,36.96976,-121.88485,3 Beds;2 Baths;1%226 sqft;Single Family Home;$186/sqft;5%053 sqft lot size;Built in 1984;County: Santa Cruz;Tax Rate Code Area: 69-273;5 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 1;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$771%092,12/22/1995:$228%000:Sold,Year:2018;Tax:$4%515;Assessment:;Land:$182%506;Improvements:$150%386;Total:$332%892,3 Beds,2 Baths,1%226 sqft,$186/sqft,Built in 1984
13,13,California,CA,95003,Santa Cruz County,Aptos,511 Alta Dr,36.96992,-121.88458,4 Beds;3 Baths;2%196 sqft;Single Family Home;$124/sqft;4%704 sqft lot size;Built in 1965;County: Santa Cruz;Tax Rate Code Area: 69-273;9 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Shingle (Not Wood);Land Use Code: Single Family Residential;,$1%173%832,12/02/1994:$273%000:Sold,Year:2018;Tax:$5%273;Assessment:;Land:$201%512;Improvements:$201%512;Total:$403%024,4 Beds,3 Baths,2%196 sqft,$124/sqft,Built in 1965
14,14,California,CA,95003,Santa Cruz County,Aptos,512 Alta Dr,36.96988,-121.88394,2 Beds;2 Baths;1%271 sqft;Single Family Home;$279/sqft;5%314 sqft lot size;Built in 1938;County: Santa Cruz;Tax Rate Code Area: 69-273;5 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 1;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$764%084,06/02/1999:$355%000:Sold;06/10/1998:$285%500:Sold,Year:2018;Tax:$6%203;Assessment:;Land:$316%901;Improvements:$172%228;Total:$489%129,2 Beds,2 Baths,1%271 sqft,$279/sqft,Built in 1938
15,15,California,CA,95003,Santa Cruz County,Aptos,514 Alta Dr,36.96997,-121.88379,Single Family Home;Lot Size: 5%489 sqft;Built in 1938;180+ Days on Trulia;MLS/Source ID: 80947736;,$647%181,03/05/2010:$460%000:Sold;01/22/2010:$549%000:Posting Removed;12/04/2009:$549%000:Price Change:$51%000: (-9%);10/10/2009:$600%000:Listed For Sale,Year:2018;Tax:$6%632;Assessment:;Land:$417%483;Improvements:$104%371;Total:$521%854,?,?,?,?,Built in 1938
16,16,California,CA,95003,Santa Cruz County,Aptos,180 Alta Mira Ct,36.9749,-121.87266,Farm Ranch;$378/sqft;Lot Size: 2.27 acres;Built in 1978;180+ Days on Trulia;MLS/Source ID: 81416066;,$1%196%658,05/30/2014:$950%000:Posting Removed;05/30/2014:$1%095%000:Sold;05/16/2014:$950%000:Pending;04/30/2014:$950%000:Listed For Sale;01/20/1999:$474%000:Sold;08/12/1997:$475%000:Sold,Year:2018;Tax:$12%889;Assessment:;Land:$748%772;Improvements:$430%948;Total:$1%179%720,?,?,?,$378/sqft,Built in 1978
17,17,California,CA,95003,Santa Cruz County,Aptos,190 Alta Mira Ct,36.97516,-121.87327,Farm Ranch;$404/sqft;Lot Size: 2.93 acres;Built in 1982;Rooms: Dining Room% Laundry Room% Family Room% Living Room% Kitchen% Bedroom;Great Views;Fireplace;Vaulted Ceiling;Foundation Type: Concrete perimeter and slab;Roof: Composition;MLS/Source ID: 81466735;,$1%126%833,07/03/2015:$949%800:Posting Removed;06/30/2015:$950%000:Sold;06/08/2015:$949%800:Pending;05/23/2015:$949%800:Listed For Sale;11/04/1999:$599%000:Sold,Year:2018;Tax:$11%060;Assessment:;Land:$633%760;Improvements:$369%693;Total:$1%003%453,?,?,?,$404/sqft,Built in 1982
18,18,California,CA,95003,Santa Cruz County,Aptos,121 Alta Verdi Dr,36.98062,-121.88619,3 Beds;2 Baths;1%251 sqft;Single Family Home;$181/sqft;7%797 sqft lot size;Built in 1963;County: Santa Cruz;Tax Rate Code Area: 69-077;5 Rooms;Heating: Floor/Wall;Parking: Garage;Parking Spaces: 1;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$752%121,02/09/1994:$226%000:Sold,Year:2018;Tax:$3%794;Assessment:;Land:$208%977;Improvements:$128%628;Total:$337%605,3 Beds,2 Baths,1%251 sqft,$181/sqft,Built in 1963
19,19,California,CA,95003,Santa Cruz County,Aptos,124 Alta Verdi Dr,36.98021,-121.88663,3 Beds;1 Bath;1%251 sqft;Single Family Home;$210/sqft;8%451 sqft lot size;Built in 1963;County: Santa Cruz;Tax Rate Code Area: 69-077;6 Rooms;Heating: Floor/Wall;Parking: Garage;Parking Spaces: 1;Units: 1;Stories: 1 story;Construction Type: Frame;Contemporary;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$721%662,02/13/1998:$262%500:Sold,Year:2018;Tax:$4%296;Assessment:;Land:$221%028;Improvements:$163%024;Total:$384%052,3 Beds,?,1%251 sqft,$210/sqft,Built in 1963
20,20,California,CA,95003,Santa Cruz County,Aptos,131 Alta Verdi Dr,36.98032,-121.88615,3 Beds;1 Bath;1%251 sqft;Single Family Home;$334/sqft;7%710 sqft lot size;Built in 1963;County: Santa Cruz;Tax Rate Code Area: 69-077;5 Rooms;Heating: Floor/Wall;Parking: Garage;Parking Spaces: 1;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$710%272,03/01/2002:$418%000:Sold,Year:2018;Tax:$6%086;Assessment:;Land:$325%627;Improvements:$217%085;Total:$542%712,3 Beds,?,1%251 sqft,$334/sqft,Built in 1963
21,21,California,CA,95003,Santa Cruz County,Aptos,134 Alta Verdi Dr,36.98013,-121.88656,Single Family Home;$543/sqft;Lot Size: 8%146 sqft;Built in 1963;180+ Days on Trulia;Rooms: Dining Room;Washer;Dryer;Floors: Carpet% Linoleum Vinyl;Fireplace;Garage;Roof: Composition;MLS/Source ID: ML81703109;,$756%762,05/31/2018:$725%000:Sold;05/25/2018:$679%000:Posting Removed;05/09/2018:$679%000:Pending;04/30/2018:$679%000:Listed For Sale,Year:2018;Tax:$742;Assessment:;Land:$34%733;Improvements:$20%434;Total:$55%167,?,?,?,$543/sqft,Built in 1963
22,22,California,CA,95003,Santa Cruz County,Aptos,141 Alta Verdi Dr,36.98016,-121.88602,4 Beds;2 Baths;1%527 sqft;Single Family Home;$356/sqft;7%754 sqft lot size;Built in 1963;County: Santa Cruz;Tax Rate Code Area: 69-077;7 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$828%219,10/03/2002:$543%500:Sold,Year:2018;Tax:$7%698;Assessment:;Land:$415%092;Improvements:$276%728;Total:$691%820,4 Beds,2 Baths,1%527 sqft,$356/sqft,Built in 1963
23,23,California,CA,95003,Santa Cruz County,Aptos,144 Alta Verdi Dr,36.9799,-121.8865,Single Family Home;$481/sqft;Lot Size: 8%538 sqft;Built in 1963;180+ Days on Trulia;MLS/Source ID: ML81435361;,$827%541,06/11/2003:$539%000:Sold;10/30/2001:$408%500:Sold;06/07/1999:$325%000:Sold,Year:2018;Tax:$7%560;Assessment:;Land:$411%657;Improvements:$274%438;Total:$686%095,?,?,?,$481/sqft,Built in 1963
24,24,California,CA,95003,Santa Cruz County,Aptos,156 Alta Verdi Dr,36.97921,-121.88622,Farm Ranch;County: Santa Cruz;Tax Rate Code Area: 69-077;Land Use Code: Rural Residence (Agricultural);,$1%072%091,03/10/2003:$350%000:Sold,Year:2018;Tax:$10%748;Assessment:;Land:$464%382;Improvements:$521%953;Total:$986%335,?,?,?,?,?
25,25,California,CA,95003,Santa Cruz County,Aptos,182 Alta Verdi Dr,36.97993,-121.88561,Farm Ranch;Lot Size: 2.61 acres;Built in 1979;180+ Days on Trulia;Parking: Attached Garage;Garage;,$1%270%789,09/29/2016:$955%000:Posting Removed;09/25/2016:$955%000:Pending;09/20/2016:$930%000:Sold;07/27/2016:$955%000:Price Change:$40%000: (-4%);06/07/2016:$995%000:Price Change:$54%000: (-5%);06/01/2016:$1%049%000:Listed For Sale;08/23/2015:$1%029%000:Posting Removed;07/22/2015:$1%029%000:Price Change:$30%000: (-3%);06/30/2015:$1%059%000:Price Change:$40%000: (-4%);05/01/2015:$1%099%000:Listed For Sale;11/30/2012:$749%000:Posting Removed;08/10/2012:$725%000:Sold;07/03/2012:$749%000:Posting Removed;06/22/2012:$749%000:Pending;06/02/2012:$749%000:Price Change:$0: (0%);05/16/2012:$749%000:Price Change:$20%950: (-3%);04/14/2012:$769%950:Listed For Sale;03/08/2012:$769%950:Price Change:$30%000: (-4%);01/31/2012:$799%950:Listed For Sale;12/22/2011:$839%900:Posting Removed;09/28/2011:$839%900:Price Change:$29%100: (-3%);07/21/2011:$869%000:Price Change:$20%000: (-2%);06/11/2011:$889%000:Listed For Sale;06/14/1996:$404%000:Sold,Year:2018;Tax:$10%416;Assessment:;Land:$668%100;Improvements:$280%500;Total:$948%600,?,?,?,?,Built in 1979
26,26,California,CA,95003,Santa Cruz County,Aptos,227 Alta Verdi Dr,36.98091,-121.88494,Farm Ranch;$329/sqft;Lot Size: 0.8 acres;Built in 1983;180+ Days on Trulia;See Virtual Tour,$1%586%121,12/17/2014:$1%199%000:Posting Removed;09/18/2014:$1%199%000:Listed For Sale,Year:2018;Tax:$12%401;Assessment:;Land:$664%391;Improvements:$475%320;Total:$1%139%711,?,?,?,$329/sqft,Built in 1983
27,27,California,CA,95003,Santa Cruz County,Aptos,230 Alta Verdi Dr,36.9802,-121.8844,3 Beds;2 Baths;2%208 sqft;Farm Ranch;$165/sqft;2.68 acres lot size;Built in 1975;County: Santa Cruz;Tax Rate Code Area: 69-077;8 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Rural Residence (Agricultural);,$1%104%524,03/27/1995:$365%000:Sold,Year:2018;Tax:$5%912;Assessment:;Land:$295%253;Improvements:$243%585;Total:$538%838,3 Beds,2 Baths,2%208 sqft,$165/sqft,Built in 1975
28,28,California,CA,95003,Santa Cruz County,Aptos,100 Angora Ln,36.98258,-121.89217,Single Family Home;Lot Size: 0.29 acres;Built in 1989;180+ Days on Trulia;,$1%585%829,03/28/2008:$1%250%000:Sold;11/10/2005:$1%550%000:Sold;07/03/2001:$895%000:Sold,Year:2018;Tax:$16%586;Assessment:;Land:$865%808;Improvements:$577%204;Total:$1%443%012,?,?,?,?,Built in 1989
29,29,California,CA,95003,Santa Cruz County,Aptos,102 Angora Ln,36.98253,-121.89246,Single Family Home;$399/sqft;Lot Size: 0.3 acres;$150/monthly HOA;Built in 1989;180+ Days on Trulia;Rooms: Dining Room% Walk In Closet;Heating Fuel: Gas;Air Conditioning;Refrigerator;Dishwasher;Disposal;Floors: Carpet% Hardwood% Tile;Fireplace;Vaulted Ceiling;Double Paned Windows;Parking: Other;Contemporary Architecture;Roof: Composition;Garden;MLS/Source ID: ML81641885;,$1%246%208,07/26/2017:$1%099%000:Posting Removed;07/26/2017:$1%045%000:Sold;06/25/2017:$1%099%000:Pending;06/09/2017:$1%099%000:Price Change:$38%000: (-3%);05/20/2017:$1%137%000:Price Change:$41%000: (-3%);04/18/2017:$1%178%000:Price Change:$37%000: (-3%);03/10/2017:$1%215%000:Listed For Sale;05/02/2006:$1%150%000:Sold;05/07/2003:$835%000:Sold;01/09/1998:$408%500:Sold;06/30/1995:$342%000:Sold,Year:2018;Tax:$12%210;Assessment:;Land:$574%750;Improvements:$470%250;Total:$1%045%000,?,?,?,$399/sqft,Built in 1989
30,30,California,CA,95003,Santa Cruz County,Aptos,104 Angora Ln,36.9824,-121.89274,Single Family Home;$250/sqft;Lot Size: 0.31 acres;Built in 1990;Fireplace;Foundation Type: Concrete Perimeter%Concrete Slab%Foundation Pillars;Roof: Shake;MLS/Source ID: 81146225;,$1%295%494,06/18/2012:$739%000:Posting Removed;05/08/2012:$739%000:Sold;11/05/2011:$739%000:Listed For Sale,Year:2018;Tax:$9%733;Assessment:;Land:$320%133;Improvements:$495%654;Total:$815%787,?,?,?,$250/sqft,Built in 1990
31,31,California,CA,95003,Santa Cruz County,Aptos,106 Angora Ln,36.98255,-121.89329,Farm Ranch;$400/sqft;Lot Size: 1.02 acres;$150/monthly HOA;Built in 1989;180+ Days on Trulia;MLS/Source ID: ML81462163;,$1%663%162,07/20/2015:$1%346%500:Sold;06/15/2015:$1%399%000:Posting Removed;05/26/2015:$1%399%000:Pending to Active Status;05/07/2015:$1%399%000:Pending;05/01/2015:$1%399%000:Listed For Sale;12/17/1999:$759%000:Sold,Year:2018;Tax:$16%131;Assessment:;Land:$750%649;Improvements:$650%250;Total:$1%400%899,?,?,?,$400/sqft,Built in 1989
32,32,California,CA,95003,Santa Cruz County,Aptos,162 Anita Ave,36.97224,-121.86994,Mobile Manufactured;Lot Size: 4%182 sqft;Built in 1976;180+ Days on Trulia;MLS/Source ID: 706770;,$503%751,05/01/2008:$349%000:Posting Removed;04/16/2008:$349%000:Listed For Sale;11/20/2007:$329%000:Sold;08/17/2004:$240%000:Sold,Year:2018;Tax:$4%859;Assessment:;Land:$327%853;Improvements:$51%949;Total:$379%802,?,?,?,?,Built in 1976
33,33,California,CA,95003,Santa Cruz County,Aptos,163 Anita Ave,36.97209,-121.8699,Mobile Manufactured;$138/sqft;Lot Size: 3%659 sqft;Built in 1974;MLS/Source ID: 81040905;,$521%854,12/30/2010:$225%000:Sold;01/03/1997:$26%000:Sold,Year:2018;Tax:$3%492;Assessment:;Land:$198%736;Improvements:$54%610;Total:$253%346,?,?,?,$138/sqft,Built in 1974
34,34,California,CA,95003,Santa Cruz County,Aptos,164 Anita Ave,36.97222,-121.87041,3 Beds;2 Baths;1%208 sqft;Mobile Manufactured;$186/sqft;3%790 sqft lot size;Built in 1976;County: Santa Cruz;Tax Rate Code Area: 69-272;Parking: Carport;Parking Spaces: 2;Units: 1;Land Use Code: Mobile home;,$515%380,12/11/2001:$225%000:Sold;05/16/1997:$106%000:Sold,Year:2018;Tax:$3%836;Assessment:;Land:$227%118;Improvements:$65%014;Total:$292%132,3 Beds,2 Baths,1%208 sqft,$186/sqft,Built in 1976
35,35,California,CA,95003,Santa Cruz County,Aptos,165 Anita Ave,36.97204,-121.87031,3 Beds;2 Baths;1%637 sqft;Mobile Manufactured;$323/sqft;3%703 sqft lot size;Built in 2003;County: Santa Cruz;Tax Rate Code Area: 69-272;7 Rooms;Heating: Central;Parking: Carport;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Mobile home;,$528%155,06/12/2018:$529%000:Sold;09/03/2010:$290%000:Sold;06/04/2010:$49%170:Sold;05/25/2001:$220%000:Sold;01/03/1997:$26%000:Sold,Year:2018;Tax:$4%207;Assessment:;Land:$206%471;Improvements:$120%064;Total:$326%535,3 Beds,2 Baths,1%637 sqft,$323/sqft,Built in 2003
36,36,California,CA,95003,Santa Cruz County,Aptos,166 Anita Ave,36.972,-121.87023,Mobile Manufactured;3%615 sqft lot size;County: Santa Cruz;Tax Rate Code Area: 69-272;Units: 1;Land Use Code: Mobile home;,$470%022,12/01/2003:$300%000:Sold;01/03/1997:$26%000:Sold,Year:2018;Tax:$1%892;Assessment:;Land:$92%091;Improvements:$20%376;Total:$112%467,?,?,?,?,?
37,37,California,CA,95003,Santa Cruz County,Aptos,167 Anita Ave,36.97189,-121.87015,Mobile Manufactured;3%528 sqft lot size;County: Santa Cruz;Tax Rate Code Area: 69-272;Units: 1;Land Use Code: Mobile home;,$480%544,06/02/1997:$97%000:Sold,Year:2018;Tax:$1%062;Assessment:;Land:$5%740;Improvements:$22%916;Total:$28%656,?,?,?,?,?
38,38,California,CA,95003,Santa Cruz County,Aptos,168 Anita Ave,36.97176,-121.87007,2 Beds;2 Baths;1%452 sqft;Mobile Manufactured;$220/sqft;3%528 sqft lot size;Built in 1977;County: Santa Cruz;Tax Rate Code Area: 69-272;5 Rooms;Heating: Central;Parking: Carport;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Mobile home;,$509%365,04/09/2004:$320%000:Sold;10/18/2002:$260%000:Sold;03/07/1997:$90%000:Sold;01/03/1997:$26%000:Sold,Year:2018;Tax:$4%411;Assessment:;Land:$289%119;Improvements:$56%216;Total:$345%335,2 Beds,2 Baths,1%452 sqft,$220/sqft,Built in 1977
39,39,California,CA,95003,Santa Cruz County,Aptos,169 Anita Ave,36.97164,-121.86996,1%474 sqft;Mobile Manufactured;$146/sqft;4%269 sqft lot size;Built in 1977;County: Santa Cruz;Tax Rate Code Area: 69-272;Parking: Carport;Parking Spaces: 2;Units: 1;Roof: Wood Shake/ Shingles;Land Use Code: Mobile home;,$519%635,09/20/2000:$215%000:Sold;01/03/1997:$26%000:Sold,Year:2018;Tax:$3%756;Assessment:;Land:$225%134;Improvements:$59%594;Total:$284%728,?,?,1%474 sqft,$146/sqft,Built in 1977
40,40,California,CA,95003,Santa Cruz County,Aptos,110 Apple Ln,36.989442,-121.859223,3 Beds;2 Baths;1%839 sqft;Single Family Home;$316/sqft;0.31 acres lot size;Built in 1959;County: Santa Cruz;Tax Rate Code Area: 69-108;7 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 1;Units: 1;Roof: Composition Shingle;Land Use Code: Single Family Residential;,$766%865,11/02/2001:$582%000:Sold,Year:2018;Tax:$8%307;Assessment:;Land:$444%038;Improvements:$311%605;Total:$755%643,3 Beds,2 Baths,1%839 sqft,$316/sqft,Built in 1959
41,41,California,CA,95003,Santa Cruz County,Aptos,125 Apple Ln,36.988972,-121.858652,Single Family Home;$294/sqft;Lot Size: 7%057 sqft;Built in 1963;Rooms: Bedroom% Bedroom% Bedroom% Dining Room% Family Room% Kitchen% Storage;Refrigerator;Dishwasher;Disposal;Floors: Carpet% Hardwood% Linoleum% Tile% Vinyl;New Traditional Architecture;Exterior: Wood;Roof: Composition Shingle;MLS/Source ID: ML81314301;,$807%821,06/28/2013:$595%000:Sold;06/22/2013:$588%000:Posting Removed;05/13/2013:$588%000:Pending;04/30/2013:$588%000:Listed For Sale;03/30/2005:$755%000:Sold,Year:2018;Tax:$7%176;Assessment:;Land:$384%203;Improvements:$259%743;Total:$643%946,?,?,?,$294/sqft,Built in 1963
42,42,California,CA,95003,Santa Cruz County,Aptos,127 Apple Ln,36.988851,-121.858224,Farm Ranch;Lot Size: 9%670 sqft;Built in 1965;MLS/Source ID: 749287;,$696%066,12/28/2007:$680%000:Sold,Year:2018;Tax:$8%562;Assessment:;Land:$559%890;Improvements:$219%340;Total:$779%230,?,?,?,?,Built in 1965
43,43,California,CA,95003,Santa Cruz County,Aptos,220 Apple Ln,36.98835,-121.856196,Farm Ranch;$567/sqft;Lot Size: 2.26 acres;Built in 1989;180+ Days on Trulia;MLS/Source ID: ML81613986;,$976%104,03/02/2017:$1%239%000:Posting Removed;11/16/2016:$1%239%000:Posting Removed;11/15/2016:$1%239%000:Pending to Active Status;11/14/2016:$1%239%000:Pending;10/29/2016:$1%239%000:Posting Removed;09/12/2016:$1%239%000:Listed For Sale;04/02/2015:$985%000:Posting Removed;02/09/2015:$985%000:Listed For Sale;08/22/2014:$1%171%000:Posting Removed;05/21/2014:$1%171%000:Listed For Sale;04/09/2014:$1%171%000:Posting Removed;03/05/2014:$1%171%000:Listed For Sale;01/12/2013:$925%000:Posting Removed;10/31/2012:$925%000:Listed For Sale;01/19/2012:$950%000:Posting Removed;11/10/2011:$950%000:Listed For Sale;09/02/2010:$1%095%000:Posting Removed;07/06/2010:$1%095%000:Listed For Sale,Year:2018;Tax:$6%253;Assessment:;Land:$285%088;Improvements:$280%494;Total:$565%582,?,?,?,$567/sqft,Built in 1989
44,44,California,CA,95003,Santa Cruz County,Aptos,300 Apple Ln,36.989185,-121.856362,3 Beds;3 Baths;3%042 sqft;Farm Ranch;$345/sqft;4.9 acres lot size;Built in 1973;County: Santa Cruz;Tax Rate Code Area: 69-108;7 Rooms;Heating: Central;Parking: Garage;Parking Spaces: 2;Units: 1;Roof: Composition Shingle;Land Use Code: Rural Residence (Agricultural);,$1%212%160,03/09/2018:$1%050%000:Sold,Year:2018;Tax:$8%287;Assessment:;Land:$388%542;Improvements:$365%234;Total:$753%776,3 Beds,3 Baths,3%042 sqft,$345/sqft,Built in 1973
